SYMBOL,NAME OF COMPANY, SERIES
ADANIENSOL,Adani Energy Solutions Limited,EQ
ADANIENT,Adani Enterprises Limited,EQ
ADANIGREEN,Adani Green Energy Limited,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ
ADANIPOWER,Adani Power Limited,EQ
ADFFOODS,ADF Foods Limited,EQ
ADL,Archidply Decor Limited,EQ
ADOR,Ador Welding Limited,EQ
ADROITINFO,Adroit Infotech Limited,EQ
ADSL,Allied Digital Services Limited,EQ
ADVAIT,Advait Energy Transitions Limited,EQ
ADVANCE,Advance Agrolife Limited,EQ
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ
ADVENTHTL,Advent Hotels International Limited,EQ
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ
AEGISLOG,Aegis Logistics Limited,EQ
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ
AEQUS,Aequs Limited,EQ
AEROENTER,Aeroflex Enterprises Limited,EQ
AEROFLEX,Aeroflex Industries Limited,EQ
AERONEU,Aeroflex Neu Limited,EQ
AETHER,Aether Industries Limited,EQ
AFCONS,Afcons Infrastructure Limited,EQ
AFFLE,Affle 3i Limited,EQ
AFFORDABLE,Affordable Robotic & Automation Limited,EQ
AFIL,Akme Fintrade (India) Limited,EQ
AFSL,Abans Financial Services Limited,EQ
AGARIND,Agarwal Industrial Corporation Limited,EQ
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ
AGI,AGI Greenpac Limited,EQ
AGIIL,Agi Infra Limited,EQ
AGRITECH,Agri-Tech (India) Limited,BE
AGROPHOS,Agro Phos India Limited,EQ
AGSTRA,AGS Transact Technologies Limited,BZ
AHCL,Anlon Healthcare Limited,EQ
AHLADA,Ahlada Engineers Limited,EQ
AHLEAST,Asian Hotels (East) Limited,EQ
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ
AIAENG,AIA Engineering Limited,EQ
AIIL,Authum Investment & Infrastructure Limited,EQ
AIRAN,Airan Limited,EQ
AIROLAM,Airo Lam limited,EQ
AJANTPHARM,Ajanta Pharma Limited,EQ
AJAXENGG,Ajax Engineering Limited,EQ
AJMERA,Ajmera Realty & Infra India Limited,EQ
AJOONI,Ajooni Biotech Limited,EQ
AKASH,Akash Infra-Projects Limited,EQ
AKG,Akg Exim Limited,EQ
AKI,AKI India Limited,EQ
AKSHAR,Akshar Spintex Limited,EQ
AKSHARCHEM,AksharChem India Limited,EQ
AKSHOPTFBR,Aksh Optifibre Limited,EQ
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ
AKZOINDIA,Akzo Nobel India Limited,EQ
ALANKIT,Alankit Limited,EQ
ALBERTDAVD,Albert David Limited,EQ
ALEMBICLTD,Alembic Limited,EQ
ALGOQUANT,Algoquant Fintech Limited,EQ
ALICON,Alicon Castalloy Limited,EQ
ALIVUS,Alivus Life Sciences Limited,EQ
ALKALI,Alkali Metals Limited,EQ
ALKEM,Alkem Laboratories Limited,EQ
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ
ALLCARGO,Allcargo Logistics Limited,EQ
ALLDIGI,Alldigi Tech Limited,EQ
ALLTIME,All Time Plastics Limited,EQ
ALMONDZ,Almondz Global Securities Limited,EQ
ALOKINDS,Alok Industries Limited,EQ
ALPA,Alpa Laboratories Limited,EQ
ALPHAGEO,Alphageo (India) Limited,EQ
AMAGI,Amagi Media Labs Limited,EQ
AMANTA,Amanta Healthcare Limited,EQ
AMBER,Amber Enterprises India Limited,EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ
AMBIKCO,Ambika Cotton Mills Limited,EQ
AMBUJACEM,Ambuja Cements Limited,EQ
AMDIND,AMD Industries Limited,EQ
AMJLAND,Amj Land Holdings Limited,EQ
AMNPLST,Amines & Plasticizers Limited,EQ
AMRUTANJAN,Amrutanjan Health Care Limited,EQ
ANANDRATHI,Anand Rathi Wealth Limited,EQ
ANANTRAJ,Anant Raj Limited,EQ
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ
ANDHRSUGAR,The Andhra Sugars Limited,EQ
ANGELONE,Angel One Limited,EQ
ANIKINDS,Anik Industries Limited,EQ
ANKITMETAL,Ankit Metal & Power Limited,BZ
ANMOL,Anmol India Limited,EQ
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ
ANTELOPUS,Antelopus Selan Energy Limited,EQ
ANTGRAPHIC,Antarctica Limited,EQ
ANTHEM,Anthem Biosciences Limited,EQ
ANUHPHR,Anuh Pharma Limited,EQ
ANUP,The Anup Engineering Limited,EQ
ANURAS,Anupam Rasayan India Limited,EQ
APARINDS,Apar Industries Limited,EQ
APCL,Anjani Portland Cement Limited,EQ
APCOTEXIND,Apcotex Industries Limited,EQ
APEX,Apex Frozen Foods Limited,EQ
APLAPOLLO,APL Apollo Tubes Limited,EQ
APLLTD,Alembic Pharmaceuticals Limited,EQ
APOLLO,Apollo Micro Systems Limited,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ
APOLLOPIPE,Apollo Pipes Limited,EQ
APOLLOTYRE,Apollo Tyres Limited,EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ
APTECHT,Aptech Limited,EQ
APTUS,Aptus Value Housing Finance India Limited,EQ
AQYLON,Aqylon Nexus Limited,BE
ARCHIDPLY,Archidply Industries Limited,EQ
ARCHIES,Archies Limited,EQ
ARE&M,Amara Raja Energy & Mobility Limited,EQ
ARENTERP,Rajdarshan Industries Limited,EQ
ARFIN,Arfin India Limited,EQ
ARIES,Aries Agro Limited,EQ
ARIHANTCAP,Arihant Capital Markets Limited,EQ
ARIHANTSUP,Arihant Superstructures Limited,EQ
ARIS,Arisinfra Solutions Limited,EQ
ARKADE,Arkade Developers Limited,EQ
ARMANFIN,Arman Financial Services Limited,EQ
AROGRANITE,Aro Granite Industries Limited,EQ
ARROWGREEN,Arrow Greentech Limited,EQ
ARSHIYA,Arshiya Limited,BZ
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ
ARTEMISMED,Artemis Medicare Services Limited,EQ
ARTNIRMAN,Art Nirman Limited,EQ
ARVEE,Arvee Laboratories (India) Limited,BE
ARVIND,Arvind Limited,EQ
ARVINDFASN,Arvind Fashions Limited,EQ
ARVSMART,Arvind SmartSpaces Limited,EQ
ASAHIINDIA,Asahi India Glass Limited,EQ
ASAHISONG,Asahi Songwon Colors Limited,EQ
ASAL,Automotive Stampings and Assemblies Limited,EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN,Ashapura Minechem Limited,EQ
ASHIANA,Ashiana Housing Limited,EQ
ASHIMASYN,Ashima Limited,EQ
ASHOKA,Ashoka Buildcon Limited,EQ
ASHOKAMET,Ashoka Metcast Limited,EQ
ASHOKLEY,Ashok Leyland Limited,EQ
ASIANENE,Asian Energy Services Limited,EQ
ASIANHOTNR,Asian Hotels (North) Limited,EQ
ASIANPAINT,Asian Paints Limited,EQ
ASIANTILES,Asian Granito India Limited,EQ
ASKAUTOLTD,ASK Automotive Limited,EQ
ASMS,Bartronics India Limited,EQ
ASPINWALL,Aspinwall and Company Limited,EQ
ASTEC,Astec LifeSciences Limited,EQ
ASTERDM,Aster DM Healthcare Limited,EQ
ASTRAL,Astral Limited,EQ
ASTRAMICRO,Astra Microwave Products Limited,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,EQ
ASTRON,Astron Paper & Board Mill Limited,EQ
ATALREAL,Atal Realtech Limited,EQ
ATAM,Atam Valves Limited,EQ
ATGL,Adani Total Gas Limited,EQ
ATHERENERG,Ather Energy Limited,EQ
ATL,Allcargo Terminals Limited,EQ
ATLANTAA,ATLANTAA LIMITED,EQ
ATLANTAELE,Atlanta Electricals Limited,EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ
ATUL,Atul Limited,EQ
ATULAUTO,Atul Auto Limited,EQ
AUBANK,AU Small Finance Bank Limited,EQ
AURIGROW,Auri Grow India Limited,BE
AURIONPRO,Aurionpro Solutions Limited,EQ
AUROPHARMA,Aurobindo Pharma Limited,EQ
AURUM,Aurum PropTech Limited,EQ
AUSOMENT,Ausom Enterprise Limited,BE
AUTOAXLES,Automotive Axles Limited,EQ
AUTOIND,Autoline Industries Limited,EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ
AVALON,Avalon Technologies Limited,EQ
AVANTEL,Avantel Limited,EQ
AVANTIFEED,Avanti Feeds Limited,EQ
AVG,AVG Logistics Limited,EQ
AVL,Aditya Vision Limited,EQ
AVONMORE,Avonmore Capital & Management Services Limited,EQ
AVROIND,AVRO INDIA LIMITED,BE
AVTNPL,AVT Natural Products Limited,EQ
AWFIS,Awfis Space Solutions Limited,EQ
AWHCL,Antony Waste Handling Cell Limited,EQ
AWL,AWL Agri Business Limited,EQ
AXISBANK,Axis Bank Limited,EQ
AXISCADES,AXISCADES Technologies Limited,EQ
AXITA,Axita Cotton Limited,BE
AYE,Aye Finance Limited,EQ
AYMSYNTEX,AYM Syntex Limited,EQ
AZAD,Azad Engineering Limited,EQ
BAFNAPH,Bafna Pharmaceuticals Limited,BE
BAGFILMS,B.A.G Films and Media Limited,EQ
BAIDFIN,Baid Finserv Limited,EQ
BAJAJ-AUTO,Bajaj Auto Limited,EQ
BAJAJCON,Bajaj Consumer Care Limited,EQ
BAJAJELEC,Bajaj Electricals Limited,EQ
BAJAJFINSV,Bajaj Finserv Limited,EQ
BAJAJHCARE,Bajaj Healthcare Limited,EQ
BAJAJHFL,Bajaj Housing Finance Limited,EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ
BAJAJINDEF,Indef Manufacturing Limited,EQ
BAJEL,Bajel Projects Limited,EQ
BAJFINANCE,Bajaj Finance Limited,EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ
BALAJITELE,Balaji Telefilms Limited,EQ
BALAMINES,Balaji Amines Limited,EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ
BALKRISHNA,Balkrishna Paper Mills Limited,EQ
BALKRISIND,Balkrishna Industries Limited,EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ
BALPHARMA,Bal Pharma Limited,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,EQ
BALUFORGE,Balu Forge Industries Limited,EQ
BANARBEADS,Banaras Beads Limited,EQ
BANARISUG,Bannari Amman Sugars Limited,EQ
BANCOINDIA,Banco Products (I) Limited,EQ
BANDHANBNK,Bandhan Bank Limited,EQ
BANG,Bang Overseas Limited,EQ
BANKA,Banka BioLoo Limited,EQ
BANKBARODA,Bank of Baroda,EQ
BANKINDIA,Bank of India,EQ
BANSALWIRE,Bansal Wire Industries Limited,EQ
BANSWRAS,Banswara Syntex Limited,EQ
BASF,BASF India Limited,EQ
BASML,Bannari Amman Spinning Mills Limited,EQ
BATAINDIA,Bata India Limited,EQ
BAYERCROP,Bayer Cropscience Limited,EQ
BBL,Bharat Bijlee Limited,EQ
BBOX,Black Box Limited,EQ
BBTC,The Bombay Burmah Trading Corporation Limited,EQ
BBTCL,B&B Triplewall Containers Limited,EQ
BCG,Brightcom Group Limited,EQ
BCLIND,Bcl Industries Limited,EQ
BCONCEPTS,Brand Concepts Limited,EQ
BDL,Bharat Dynamics Limited,EQ
BEARDSELL,Beardsell Limited,EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ
BEDMUTHA,Bedmutha Industries Limited,EQ
BEL,Bharat Electronics Limited,EQ
BELLACASA,Bella Casa Fashion & Retail Limited,EQ
BELRISE,Belrise Industries Limited,EQ
BEML,BEML Limited,EQ
BEPL,Bhansali Engineering Polymers Limited,EQ
BERGEPAINT,Berger Paints (I) Limited,EQ
BESTAGRO,Best Agrolife Limited,BE
BETA,Beta Drugs Limited,EQ
BFINVEST,BF Investment Limited,EQ
BFUTILITIE,BF Utilities Limited,BZ
BGLOBAL,Bharatiya Global Infomedia Limited,BZ
BGRENERGY,BGR Energy Systems Limited,EQ
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ
BHAGERIA,Bhageria Industries Limited,EQ
BHAGYANGR,Bhagyanagar India Limited,BE
BHANDARI,Bhandari Hosiery Exports Limited,EQ
BHARATCOAL,Bharat Coking Coal Limited,EQ
BHARATFORG,Bharat Forge Limited,EQ
BHARATGEAR,Bharat Gears Limited,EQ
BHARATRAS,Bharat Rasayan Limited,EQ
BHARATSE,Bharat Seats Limited,EQ
BHARATWIRE,Bharat Wire Ropes Limited,EQ
BHARTIARTL,Bharti Airtel Limited,EQ
BHARTIHEXA,Bharti Hexacom Limited,EQ
BHEL,Bharat Heavy Electricals Limited,EQ
BIGBLOC,Bigbloc Construction Limited,EQ
BIKAJI,Bikaji Foods International Limited,EQ
BIL,Bhartiya International Limited,EQ
BILVYAPAR,BIL VYAPAR LIMITED,BE
BIOCON,Biocon Limited,EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ
BIRLACABLE,Birla Cable Limited,EQ
BIRLACORPN,Birla Corporation Limited,EQ
BIRLAMONEY,Aditya Birla Money Limited,EQ
BIRLANU,BirlaNu Limited,EQ
BLACKBUCK,BLACKBUCK LIMITED,EQ
BLAL,BEML Land Assets Limited,EQ
BLBLIMITED,BLB Limited,EQ
BLISSGVS,Bliss GVS Pharma Limited,EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ
BLS,BLS International Services Limited,EQ
BLSE,BLS E-Services Limited,EQ
BLUECHIP,Blue Chip India Limited,EQ
BLUECOAST,Blue Coast Hotels Limited,EQ
BLUEDART,Blue Dart Express Limited,EQ
BLUEJET,Blue Jet Healthcare Limited,EQ
BLUESTARCO,Blue Star Limited,EQ
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ
BLUSPRING,Bluspring Enterprises Limited,EQ
BMWVENTLTD,BMW Ventures Limited,EQ
BODALCHEM,Bodal Chemicals Limited,EQ
BOHRAIND,Bohra Industries Limited,EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ
BORANA,Borana Weaves Limited,BE
BOROLTD,Borosil Limited,EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ
BOROSCI,Borosil Scientific Limited,EQ
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ
BOSCHLTD,Bosch Limited,EQ
BPCL,Bharat Petroleum Corporation Limited,EQ
BPL,BPL Limited,EQ
BRIGADE,Brigade Enterprises Limited,EQ
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ
BRITANNIA,Britannia Industries Limited,EQ
BRNL,Bharat Road Network Limited,EQ
BROOKS,Brooks Laboratories Limited,EQ
BSE,BSE Limited,EQ
BSHSL,Bombay Super Hybrid Seeds Limited,EQ
BSL,BSL Limited,EQ
BSOFT,BIRLASOFT LIMITED,EQ
BTML,Bodhi Tree Multimedia Limited,EQ
BUILDPRO,Shankara Buildpro Limited,EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ
BVCL,Barak Valley Cements Limited,EQ
BYKE,The Byke Hospitality Ltd,EQ
CALSOFT,California Software Company Limited,EQ
CAMLINFINE,Camlin Fine Sciences Limited,EQ
CAMPUS,Campus Activewear Limited,EQ
CAMS,Computer Age Management Services Limited,EQ
CANBK,Canara Bank,EQ
CANFINHOME,Can Fin Homes Limited,EQ
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ
CANTABIL,Cantabil Retail India Limited,EQ
CAPACITE,Capacit'e Infraprojects Limited,EQ
CAPILLARY,Capillary Technologies India Limited,EQ
CAPITALSFB,Capital Small Finance Bank Limited,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,EQ
CAPTRUST,Capital Trust Limited,EQ
CARBORUNIV,Carborundum Universal Limited,EQ
CARERATING,CARE Ratings Limited,EQ
CARRARO,Carraro India Limited,EQ
CARTRADE,Cartrade Tech Limited,EQ
CARYSIL,CARYSIL LIMITED,EQ
CASTROLIND,Castrol India Limited,EQ
CCAVENUE,AvenuesAI Limited,EQ
CCCL,Consolidated Construction Consortium Limited,EQ
CCHHL,Country Club Hospitality & Holidays Limited,EQ
CCL,CCL Products (India) Limited,EQ
CDSL,Central Depository Services (India) Limited,EQ
CEATLTD,CEAT Limited,EQ
CEIGALL,Ceigall India Limited,EQ
CELEBRITY,Celebrity Fashions Limited,EQ
CELLO,Cello World Limited,EQ
CEMPRO,Cemindia Projects Limited,EQ
CENTENKA,Century Enka Limited,EQ
CENTEXT,Century Extrusions Limited,EQ
CENTRALBK,Central Bank of India,EQ
CENTRUM,Centrum Capital Limited,EQ
CENTUM,Centum Electronics Limited,EQ
CENTURYPLY,Century Plyboards (India) Limited,EQ
CERA,Cera Sanitaryware Limited,EQ
CEREBRAINT,Cerebra Integrated Technologies Limited,BZ
CESC,CESC Limited,EQ
CEWATER,Concord Enviro Systems Limited,EQ
CGCL,Capri Global Capital Limited,EQ
CGPOWER,CG Power and Industrial Solutions Limited,EQ
CHALET,Chalet Hotels Limited,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ
CHEMBOND,Chembond Material Technologies Limited,EQ
CHEMBONDCH,Chembond Chemicals Limited,EQ
CHEMCON,Chemcon Speciality Chemicals Limited,EQ
CHEMFAB,Chemfab Alkalis Limited,EQ
CHEMPLASTS,Chemplast Sanmar Limited,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ
CHEVIOT,Cheviot Company Limited,EQ
CHOICEIN,Choice International Limited,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ
CIEINDIA,CIE Automotive India Limited,EQ
CIFL,Capital India Finance Limited,EQ
CIGNITITEC,Cigniti Technologies Limited,EQ
CINELINE,Cineline India Limited,EQ
CINEVISTA,Cinevista Limited,EQ
CIPLA,Cipla Limited,EQ
CLCIND,CLC Industries Limited,BE
CLEAN,Clean Science and Technology Limited,EQ
CLEDUCATE,CL Educate Limited,EQ
CLSEL,Chaman Lal Setia Exports Limited,EQ
CMICABLES,CMI Limited,BZ
CMSINFO,CMS Info Systems Limited,EQ
CNL,Creative Newtech Limited,EQ
COALINDIA,Coal India Limited,EQ
COASTCORP,Coastal Corporation Limited,BE
COCHINSHIP,Cochin Shipyard Limited,EQ
COFFEEDAY,Coffee Day Enterprises Limited,EQ
COFORGE,Coforge Limited,EQ
COHANCE,Cohance Lifesciences Limited,EQ
COLPAL,Colgate Palmolive (India) Limited,EQ
COMPINFO,Compuage Infocom Limited,BZ
COMPUSOFT,Compucom Software Limited,EQ
COMSYN,Commercial Syn Bags Limited,EQ
CONCOR,Container Corporation of India Limited,EQ
CONCORDBIO,Concord Biotech Limited,EQ
CONFIPET,Confidence Petroleum India Limited,EQ
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ
CONTROLPR,Control Print Limited,EQ
CORALFINAC,Coral India Finance & Housing Limited,EQ
CORDSCABLE,Cords Cable Industries Limited,EQ
COROMANDEL,Coromandel International Limited,EQ
CORONA,CORONA Remedies Limited,EQ
COSMOFIRST,COSMO FIRST LIMITED,EQ
COUNCODOS,Country Condo's Limited,EQ
CPCAP,CP Capital Limited,EQ
CPEDU,Career Point Edutech Limited,EQ
CPPLUS,Aditya Infotech Limited,EQ
CRAFTSMAN,Craftsman Automation Limited,EQ
CRAMC,Canara Robeco Asset Management Company Limited,EQ
CREATIVEYE,Creative Eye Limited,EQ
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ
CREST,Crest Ventures Limited,EQ
CRISIL,CRISIL Limited,EQ
CRIZAC,Crizac Limited,EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ
CROWN,Crown Lifters Limited,EQ
CSBBANK,CSB Bank Limited,EQ
CSLFINANCE,CSL Finance Limited,EQ
CTE,Cambridge Technology Enterprises Limited,EQ
CUB,City Union Bank Limited,EQ
CUBEXTUB,Cubex Tubings Limited,EQ
CUMMINSIND,Cummins India Limited,EQ
CUPID,Cupid Limited,EQ
CURAA,Cura Technologies Limited,BE
CYBERMEDIA,Cyber Media (India) Limited,EQ
CYBERTECH,Cybertech Systems And Software Limited,EQ
CYIENT,Cyient Limited,EQ
CYIENTDLM,Cyient DLM Limited,EQ
DABUR,Dabur India Limited,EQ
DALBHARAT,Dalmia Bharat Limited,EQ
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ
DAMCAPITAL,Dam Capital Advisors Limited,EQ
DAMODARIND,Damodar Industries Limited,EQ
DANGEE,Dangee Dums Limited,EQ
DATAMATICS,Datamatics Global Services Limited,EQ
DATAPATTNS,Data Patterns (India) Limited,EQ
DAVANGERE,Davangere Sugar Company Limited,EQ
DBCORP,D.B.Corp Limited,EQ
DBEIL,Deepak Builders & Engineers India Limited,EQ
DBL,Dilip Buildcon Limited,EQ
DBOL,Dhampur Bio Organics Limited,EQ
DBREALTY,Valor Estate Limited,EQ
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ
DCAL,Dishman Carbogen Amcis Limited,EQ
DCBBANK,DCB Bank Limited,EQ
DCI,Dc Infotech And Communication Limited,EQ
DCM,DCM  Limited,EQ
DCMFINSERV,DCM Financial Services Limited,EQ
DCMNVL,DCM Nouvelle Limited,EQ
DCMSHRIRAM,DCM Shriram Limited,EQ
DCMSIL,DCM Shriram International Limited,EQ
DCMSRIND,DCM Shriram Industries Limited,EQ
DCW,DCW Limited,EQ
DCXINDIA,DCX Systems Limited,EQ
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ
DECCANCE,Deccan Cements Limited,EQ
DEEDEV,DEE Development Engineers Limited,EQ
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
DEEPAKNTR,Deepak Nitrite Limited,EQ
DEEPINDS,Deep Industries Limited,EQ
DELHIVERY,Delhivery Limited,EQ
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ
DELTACORP,Delta Corp Limited,EQ
DELTAMAGNT,Delta Manufacturing Limited,EQ
DEN,Den Networks Limited,EQ
DENORA,De Nora India Limited,EQ
DENTA,Denta Water and Infra Solutions Limited,EQ
DEVIT,Dev Information Technology Limited,EQ
DEVX,Dev Accelerator Limited,EQ
DEVYANI,Devyani International Limited,EQ
DGCONTENT,Digicontent Limited,EQ
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ
DHANBANK,Dhanlaxmi Bank Limited,EQ
DHANUKA,Dhanuka Agritech Limited,EQ
DHARAN,DHARAN INFRA-EPC LIMITED,BZ
DHARMAJ,Dharmaj Crop Guard Limited,EQ
DHRUV,Dhruv Consultancy Services Limited,EQ
DHUNINV,Dhunseri Investments Limited,EQ
DIACABS,Diamond Power Infrastructure Limited,EQ
DIAMINESQ,Diamines & Chemicals Limited,EQ
DIAMONDYD,Prataap Snacks Limited,EQ
DICIND,DIC India Limited,EQ
DIFFNKG,Diffusion Engineers Limited,EQ
DIGIDRIVE,Digidrive Distributors Limited,EQ
DIGISPICE,DiGiSPICE Technologies Limited,EQ
DIGITIDE,Digitide Solutions Limited,EQ
DIGJAMLMTD,Digjam Limited,EQ
DISHTV,Dish TV India Limited,EQ
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ
DIVISLAB,Divi's Laboratories Limited,EQ
DIXON,Dixon Technologies (India) Limited,EQ
DJML,DJ Mediaprint & Logistics Limited,BE
DLF,DLF Limited,EQ
DLINKINDIA,D-Link (India) Limited,EQ
DMART,Avenue Supermarts Limited,EQ
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ
DNAMEDIA,Diligent Media Corporation Limited,EQ
DODLA,Dodla Dairy Limited,EQ
DOLATALGO,Dolat Algotech Limited,EQ
DOLLAR,Dollar Industries Limited,EQ
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ
DOMS,DOMS Industries Limited,EQ
DONEAR,Donear Industries Limited,EQ
DPABHUSHAN,D. P. Abhushan Limited,EQ
DPSCLTD,DPSC Limited,EQ
DPWIRES,D P Wires Limited,EQ
DRCSYSTEMS,DRC Systems India Limited,EQ
DREAMFOLKS,Dreamfolks Services Limited,EQ
DREDGECORP,Dredging Corporation of India Limited,EQ
DRREDDY,Dr. Reddy's Laboratories Limited,EQ
DSFCL,DCM Shriram Fine Chemicals Limited,EQ
DSSL,Dynacons Systems & Solutions Limited,EQ
DTIL,Dhunseri Tea & Industries Limited,EQ
DUCON,Ducon Infratechnologies Limited,EQ
DVL,Dhunseri Ventures Limited,EQ
DWARKESH,Dwarikesh Sugar Industries Limited,EQ
DYCL,Dynamic Cables Limited,EQ
DYNAMATECH,Dynamatic Technologies Limited,EQ
DYNPRO,Dynemic Products Limited,EQ
E2E,E2E Networks Limited,EQ
EASEMYTRIP,Easy Trip Planners Limited,EQ
EASTSILK,Eastern Silk Industries Limited,BE
EBGNG,GNG Electronics Limited,EQ
ECLERX,eClerx Services Limited,EQ
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ
EDELWEISS,Edelweiss Financial Services Limited,EQ
EDUCOMP,Educomp Solutions Limited,BZ
EFCIL,EFC (I) Limited,EQ
EICHERMOT,Eicher Motors Limited,EQ
EIDPARRY,EID Parry India Limited,EQ
EIEL,Enviro Infra Engineers Limited,EQ
EIFFL,Euro India Fresh Foods Limited,EQ
EIHAHOTELS,EIH Associated Hotels Limited,EQ
EIHOTEL,EIH Limited,EQ
EIMCOELECO,Eimco Elecon (India) Limited,EQ
EKC,Everest Kanto Cylinder Limited,EQ
ELDEHSG,Eldeco Housing And Industries Limited,EQ
ELECON,Elecon Engineering Company Limited,EQ
ELECTCAST,Electrosteel Castings Limited,EQ
ELECTHERM,Electrotherm (India) Limited,EQ
ELGIEQUIP,Elgi Equipments Limited,EQ
